zip_code,brand,product_name,price,sale_price,snap_eligible
94110,"365 by Whole Foods Market","365 by Whole Foods Market, Organic Low Sodium Chicken Broth, 32 Fl Oz",$2.99,None,True
94110,"City Pier","RAW SEAFOOD INC Grilled Shrimp with Cocktail Sauce, 10 OZ",$15.99,None,True
94110,"Bonne Maman","Bonne Maman Fig Preserve, 13 Oz",$6.99,None,True
94110,"Liberty","Bonne Maman Cherry Preserves, 13 Oz",$6.99,None,True
94110,"WHOLE FOODS MARKET KITCHENS","Whole Foods Market Kitchens, Pumpkin Pie, 28 oz",0.00,None,False
94110,"365 by Whole Foods Market","Organic Farm Animals & Tractors Pasta, 8.8 Ounce",$3.49,None,True
94110,"365 by Whole Foods Market","Organic Tri-Color Pasta, Sea Shapes, 8.8 Ounce",$3.49,None,True
94110,"Jeni's","Jenis Splendid Ice Creams Triple Berry Tart Ice Cream Sandwich, 3 pk (Frozen)",$5.75,None,True
94110,"Nature's Path","Nature's Path Organic Frosted Wildberry Açai Toaster Pastries, 11 oz (Pack of 1), Non-GMO, Fair Trade",$5.89,None,True
94110,"Rao's","Rao's Homemade | Four Cheese Alfredo Sauce | 15oz",$8.69,None,True
94110,"Schaller & Weber","Schaller & Weber Uncured Andouille Pork Sausage, Hickory Smoked, Gluten Free, Fully Cooked, Ready to Eat 12 OZ",$7.99,None,True
94110,"Laoban Dumplings","Laoban Dumplings Crab Rangoon, 8 OZ",$8.39,$6.98,True
94110,"365 by Whole Foods Market","Caraway Seed, 1.73 Ounce",$2.99,None,True
94110,"Rao's","Rao's Homemade Caramelized Onion Sauce, 24 oz, Caramelized Onion and Tomato, All Purpose, Keto Friendly Pasta Sauce, Premium Quality Tomatoes from Italy",$8.69,None,True
94110,"Lucky","LUCKY FOODS Bulgogi Sauce, 15 Ounce (1 bottle)",$7.09,$5.51,True
94110,"Just Date Syrup","Just Date: Organic Pomegranate Syrup / 100% Natural / Organic Pomegranate Molasses / Healthy Alternative for Sugar, Honey or Maple / Low Glycemic Index & Packed with Nutrition / 8.8 oz Squeeze Bottle",$9.79,None,True
94110,"Sweet Craft","Dark Chocolate Mousse Cup, 3.8 Ounce",$3.99,None,False
94110,"Rubicon Bakery","RUBICON BAKERY Chocolate Delight Cupcakes 4 Count, 10 OZ",$6.99,None,True
94110,"4th & Heart","4th & Heart Original Grass-Fed Ghee, Clarified Butter, 1:1 Butter Substitute, Pasture-Raised, Lactose & Casein Free, 9 oz",$13.99,None,True
94110,"Siete","Siete Grain Free Mexican Shortbread Cookies",$4.99,None,True
94110,"Grillo's","Grillo's Pickles Classic Dill Pickle Spears, 32 Fl Oz",$7.99,None,True
94110,"365 by Whole Foods Market","Creamy Almond Butter, 16 Ounce",$7.99,None,True
94110,"Barney Butter","Barney Butter Almond Butter, Crunchy, 16 Ounce Jar, Skin-Free Almonds, No Stir, Non-GMO, Gluten Free, Keto, Paleo, Vegan",$12.29,None,True
94110,"Bio-K Plus","Bio-K + Drinkable Probiotics for Women & Men, Original Flavor, 50 Billion Live and Active Bacteria, Fermented Dairy - Shipped Cold (6) Bottles, 3.5 fl. Oz",0.00,None,False
94110,"poppi","Poppi Lemon Lime Flavored Prebiotic Soda, Non GMO, Kosher, 12 Fluid Ounces (Pack Of 12)",0.00,None,False
94110,"365 by Whole Foods Market","Energy Bar, Chocolate Chip, 2.4 Ounce",$1.69,None,True
94110,"Immaculate Baking Co.","IMMACULATE BAKING COMPANY Organic Cinnamon Rolls, 17.5 OZ",$7.99,None,True
